Lee Times,A* Times
17,18
18,19
19,19
24,19
66,20
67,20
71,26
85,26
85,26
85,26
85,27
86,27
86,27
87,27
87,27
88,27
90,27
93,27
99,27
102,27
102,27
105,27
105,27
106,27
106,27
106,27
107,27
108,27
109,27
114,27
116,27
120,27
122,27
122,27
123,27
124,27
124,27
124,28
124,28
125,28
126,28
126,28
126,28
128,28
128,28
128,28
129,28
129,28
129,28
130,28
130,28
133,28
135,28
138,28
138,28
141,28
142,28
143,28
144,28
144,29
146,29
146,29
149,29
150,29
151,29
151,29
154,29
155,29
156,29
156,29
160,29
161,29
162,29
164,29
165,29
171,29
172,29
175,30
175,30
175,30
178,30
178,30
181,30
181,30
183,31
184,31
187,31
189,32
190,32
190,32
192,32
193,32
200,32
201,33
204,33
206,33
207,33
208,34
211,34
255,34
