Lee Times,A* Times
18,18
18,18
19,19
19,19
21,19
21,19
21,20
63,20
63,21
63,21
63,21
64,22
65,26
65,26
65,26
65,26
65,26
66,26
66,26
68,26
69,26
69,26
69,26
76,26
84,26
84,26
84,27
93,27
95,27
99,27
100,27
102,27
103,27
103,27
103,27
103,27
104,27
106,27
106,27
113,27
113,27
117,27
118,27
119,27
122,27
122,27
124,27
125,27
126,27
127,27
128,27
130,27
135,27
136,27
137,27
138,27
139,27
139,27
140,27
141,27
141,28
142,28
143,28
144,28
146,28
146,28
146,28
149,28
152,28
153,28
154,28
156,28
156,28
156,28
157,28
158,28
159,29
159,29
159,29
159,29
159,29
159,29
160,29
160,29
160,29
161,29
162,29
164,29
175,29
176,29
178,30
179,30
179,31
183,31
184,31
184,32
194,33
196,34
202,36
204,77
